Protein_ID,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,SD_10,SD_11,SD_12,SD_13,SD_14,SD_15,SD_16,SD_17,SD_18,SD_19,SD_20,SD_21,SD_22,SD_23,SD_24,SD_25,SD_26,SD_27,SD_28,SD_29,SD_30,SD_31,SD_32,SD_33,SD_34,SD_35,SD_36,SD_37,SD_38,SD_39,SD_40,SD_41,SD_42,SD_43,SD_44,SD_45,SD_46,SD_47,SD_48,SD_49,SD_50,SD_51,SD_52,SD_53,SD_54,SD_55,SD_56,SD_57,SD_58,SD_59,SD_60,SD_61,SD_62,SD_63,SD_64,SD_65,SD_66,SD_67,SD_68,SD_69,SD_70,SD_71,SD_72,SD_73,SD_74,SD_75,SD_76,SD_77,SD_78,SD_79,SD_80
Q55055,-1.0,-0.24324324324324326,-1.4054054054054055,-1.054054054054054,-2.972972972972973,-0.8378378378378378,-0.7027027027027027,-2.6216216216216215,-0.7027027027027027,-0.5675675675675675,-0.5945945945945946,-0.5675675675675675,-0.972972972972973,-1.9189189189189189,-2.2162162162162162,-1.027027027027027,-0.7837837837837838,-3.3513513513513513,-1.6216216216216217,-0.5675675675675675,-0.6216216216216216,-1.2702702702702702,-1.5135135135135136,-0.8648648648648649,-2.4324324324324325,-1.3513513513513513,-0.9459459459459459,-1.6486486486486487,-1.7297297297297298,-1.4324324324324325,-1.135135135135135,-1.4594594594594594,-1.7837837837837838,-2.2162162162162162,-2.810810810810811,-1.2702702702702702,-1.2162162162162162,-3.918918918918919,-2.6216216216216215,-0.6486486486486487,-0.7837837837837838,-1.6486486486486487,-2.2432432432432434,-2.108108108108108,-2.864864864864865,-1.4864864864864864,-1.3513513513513513,-2.675675675675676,-1.2162162162162162,-1.5945945945945945,-1.2162162162162162,-1.864864864864865,-1.3783783783783783,-2.27027027027027,-2.3513513513513513,-1.7027027027027026,-1.135135135135135,-3.2972972972972974,-2.1621621621621623,-1.5675675675675675,-0.5128205128205128,-1.0,-1.6923076923076923,-1.6153846153846154,-2.8974358974358974,-0.8974358974358975,-0.358974358974359,-1.9230769230769231,0.20512820512820512,-1.5897435897435896,-1.435897435897436,-1.0256410256410255,-1.5897435897435896,-1.8205128205128205,-1.1025641025641026,-1.1538461538461537,-1.1794871794871795,-3.230769230769231,-0.8461538461538461,-1.1282051282051282
Q04959,0.10810810810810811,-1.445945945945946,-0.9459459459459459,-1.2972972972972974,-1.7027027027027026,-0.972972972972973,-1.1756756756756757,-0.527027027027027,-1.3513513513513513,-1.4324324324324325,-1.2702702702702702,-1.1081081081081081,-0.8783783783783784,-1.3918918918918919,-0.8513513513513513,-0.10810810810810811,-0.527027027027027,-2.1486486486486487,-1.0810810810810811,-0.9594594594594594,0.4189189189189189,-1.6081081081081081,-1.7567567567567568,-2.1486486486486487,-1.162162162162162,-1.2837837837837838,-1.5810810810810811,-1.135135135135135,-2.0135135135135136,-0.25675675675675674,-0.10810810810810811,-1.2837837837837838,-0.1891891891891892,-1.1081081081081081,-1.5405405405405406,-0.5540540540540541,-0.35135135135135137,-2.027027027027027,-1.1891891891891893,0.3108108108108108,0.14864864864864866,-0.9594594594594594,-0.7702702702702703,-1.2162162162162162,-1.945945945945946,0.5945945945945946,-0.6756756756756757,0.25675675675675674,-1.0675675675675675,-1.662162162162162,-1.6486486486486487,-0.5945945945945946,-1.2027027027027026,-1.6216216216216217,1.5810810810810811,-0.05405405405405406,-0.3108108108108108,-1.662162162162162,-0.527027027027027,-1.2567567567567568,0.18421052631578946,-1.118421052631579,-0.7631578947368421,-1.0263157894736843,-1.986842105263158,0.8421052631578947,-0.5,0.25,-0.75,-1.986842105263158,-1.9210526315789473,-0.5263157894736842,-1.2763157894736843,-1.894736842105263,2.263157894736842,0.4605263157894737,-0.35526315789473684,-2.223684210526316,-0.9210526315789473,-1.605263157894737
Q08429,-0.5625,-1.25,-1.125,-1.625,-1.5,-0.90625,-1.0625,-1.3125,-1.09375,-1.0,-1.09375,-0.96875,-0.6875,-1.0,-1.71875,-0.4375,-0.34375,-1.875,-0.625,-0.65625,-0.4375,-0.8125,-1.09375,-1.21875,-2.0625,-0.40625,-0.5,-1.8125,-0.46875,-1.3125,-1.21875,-0.34375,-0.78125,-1.59375,-0.9375,-0.65625,-0.78125,-2.5625,-1.09375,-0.84375,-0.5,-0.96875,-0.65625,-0.71875,-2.125,-0.3125,-0.125,-1.4375,-0.53125,-1.59375,-1.65625,-0.65625,-1.0625,-1.78125,-0.84375,-0.3125,-0.40625,-2.375,-0.9375,-1.0625,-0.84375,-0.3125,-0.28125,-0.78125,-2.3125,-0.09375,-0.03125,-1.65625,-0.6875,-1.71875,-1.3125,-0.0625,-0.78125,-1.6875,-1.59375,-0.3125,-0.875,-2.1875,-1.21875,-1.53125
Q83GS8,-0.775,-1.4916666666666667,-1.05,-1.0416666666666667,-2.1041666666666665,-1.1625,-0.8375,-1.5708333333333333,-1.5625,-0.925,-1.0625,-0.9625,-1.2416666666666667,-1.725,-1.4958333333333333,-0.9,-0.85,-2.6083333333333334,-1.675,-0.7583333333333333,-0.9458333333333333,-1.525,-1.0583333333333333,-1.3833333333333333,-2.4375,-1.4541666666666666,-1.1208333333333333,-2.0875,-1.8083333333333333,-0.5791666666666667,-1.075,-0.9916666666666667,-1.5583333333333333,-1.7125,-2.0083333333333333,-0.9041666666666667,-0.8041666666666667,-3.625,-1.7791666666666666,-0.9208333333333333,-0.5458333333333333,-0.4666666666666667,-0.5083333333333333,-0.6833333333333333,-1.8666666666666667,-0.5458333333333333,-0.32083333333333336,-1.3375,-0.9125,-0.5666666666666667,-0.4791666666666667,-0.6333333333333333,-0.4875,-0.9041666666666667,-0.8583333333333333,-0.5666666666666667,-0.525,-1.9458333333333333,-0.7875,-0.65,-0.6198347107438017,-1.1570247933884297,-1.0661157024793388,-1.1900826446280992,-2.3677685950413223,-0.8140495867768595,-0.6694214876033058,-1.8512396694214877,-1.4132231404958677,-0.9297520661157025,-0.9958677685950413,-0.8057851239669421,-1.371900826446281,-1.3801652892561984,-1.8553719008264462,-0.8842975206611571,-0.9586776859504132,-2.669421487603306,-1.4008264462809918,-0.7727272727272727
Q8G864,-1.146551724137931,-0.9655172413793104,-1.793103448275862,-2.0,-2.896551724137931,-1.146551724137931,-1.3017241379310345,-2.3448275862068964,-1.6724137931034482,-1.396551724137931,-1.1551724137931034,-1.4482758620689655,-0.9051724137931034,-1.3620689655172413,-2.1724137931034484,-1.3103448275862069,-1.1810344827586208,-2.9224137931034484,-1.4482758620689655,-1.4051724137931034,-0.5862068965517241,-0.9137931034482759,-1.1896551724137931,-0.8017241379310345,-2.146551724137931,-0.7241379310344828,-0.3620689655172414,-1.75,-1.4482758620689655,-0.9568965517241379,-0.603448275862069,-0.9396551724137931,-1.3103448275862069,-1.5689655172413792,-2.0258620689655173,-0.9913793103448276,-1.206896551724138,-3.0172413793103448,-1.6724137931034482,-1.2672413793103448,-0.6293103448275862,-1.2844827586206897,-1.4827586206896552,-1.3448275862068966,-2.146551724137931,-1.3189655172413792,-1.1551724137931034,-0.9913793103448276,-1.6206896551724137,-1.456896551724138,-0.9655172413793104,-1.603448275862069,-1.3879310344827587,-1.3017241379310345,-1.9913793103448276,-1.1982758620689655,-1.0689655172413792,-2.9655172413793105,-1.206896551724138,-1.1637931034482758,-0.4406779661016949,-0.9322033898305084,-1.3983050847457628,-1.271186440677966,-2.694915254237288,-0.4915254237288136,-0.576271186440678,-2.1016949152542375,-1.9576271186440677,-1.1101694915254237,-1.2033898305084745,-0.5084745762711864,-1.4745762711864407,-2.2542372881355934,-2.4237288135593222,-1.1694915254237288,-1.3305084745762712,-3.042372881355932,-2.042372881355932,-1.0084745762711864
P16169,-0.7023809523809523,-1.4523809523809523,-0.9047619047619048,-1.1666666666666667,-3.0,-1.0476190476190477,-1.1547619047619047,-1.25,-1.2380952380952381,-1.0833333333333333,-1.4047619047619047,-1.1666666666666667,-1.119047619047619,-1.380952380952381,-2.369047619047619,-0.9523809523809523,-0.9642857142857143,-1.4404761904761905,-0.7380952380952381,-1.2738095238095237,-0.5476190476190477,-1.5238095238095237,-0.27380952380952384,-0.7261904761904762,-2.8452380952380953,-0.9642857142857143,-1.130952380952381,-1.380952380952381,-1.1666666666666667,-1.130952380952381,-1.4761904761904763,-1.1666666666666667,-1.4642857142857142,-1.4285714285714286,-1.869047619047619,-0.9761904761904762,-0.6547619047619048,-1.5357142857142858,-0.7857142857142857,-1.119047619047619,-0.36904761904761907,-1.1785714285714286,0.09523809523809523,0.07142857142857142,-1.8928571428571428,-0.6071428571428571,-0.7023809523809523,-0.6904761904761905,-0.16666666666666666,-0.8333333333333334,-0.9761904761904762,-0.9404761904761905,-0.8333333333333334,-0.4166666666666667,-0.9761904761904762,-0.10714285714285714,-0.16666666666666666,0.09523809523809523,-0.023809523809523808,-0.75,-0.2261904761904762,-0.9880952380952381,-0.5952380952380952,-1.1666666666666667,-1.7619047619047619,-1.0357142857142858,-0.9285714285714286,-1.3333333333333333,-1.4761904761904763,-1.3214285714285714,-1.369047619047619,-0.75,-1.2261904761904763,-1.4523809523809523,-1.8452380952380953,-0.13095238095238096,-0.011904761904761904,-1.5119047619047619,-0.8452380952380952,-0.8452380952380952
Q01464,-0.5074626865671642,-1.8656716417910448,-1.5671641791044777,-1.9850746268656716,-2.1940298507462686,-1.3432835820895523,-1.8059701492537314,-1.208955223880597,-1.6417910447761195,-1.0,-1.0746268656716418,-1.328358208955224,-0.9402985074626866,-2.0,-2.253731343283582,-0.746268656716418,-0.34328358208955223,-3.582089552238806,-2.2686567164179103,-0.9104477611940298,-0.835820895522388,-1.8507462686567164,-1.3880597014925373,-0.9850746268656716,-2.298507462686567,-1.6119402985074627,-0.9850746268656716,-1.1194029850746268,-1.8507462686567164,-0.5970149253731343,-0.6567164179104478,-1.7611940298507462,-0.9552238805970149,-1.5223880597014925,-1.6865671641791045,-1.2388059701492538,-1.328358208955224,-2.7313432835820897,-1.671641791044776,-0.582089552238806,-0.5074626865671642,-1.373134328358209,-1.1492537313432836,-1.5223880597014925,-1.537313432835821,-1.3880597014925373,-1.1044776119402986,-1.328358208955224,-2.044776119402985,-0.3283582089552239,-0.5522388059701493,-1.0298507462686568,-0.5970149253731343,-1.6567164179104477,-2.074626865671642,-1.0,-1.0,-3.5970149253731343,-1.7164179104477613,-0.5074626865671642,-0.9552238805970149,-0.8656716417910447,-1.537313432835821,-1.1194029850746268,-2.8358208955223883,-0.9850746268656716,-0.08955223880597014,-2.373134328358209,-1.8208955223880596,-0.9253731343283582,-1.1343283582089552,-0.7014925373134329,-1.0746268656716418,-1.5522388059701493,-2.014925373134328,-0.8507462686567164,-1.164179104477612,-3.4925373134328357,-1.6567164179104477,-0.9850746268656716
P10547,0.21951219512195122,-1.008130081300813,-0.43089430894308944,-0.7479674796747967,-2.5853658536585367,0.08943089430894309,0.42276422764227645,-1.2357723577235773,-1.4715447154471544,-1.6585365853658536,-1.6504065040650406,-0.04065040650406504,-1.5284552845528456,-2.7560975609756095,1.4065040650406504,0.8617886178861789,0.926829268292683,-3.203252032520325,-2.073170731707317,-0.6991869918699187,0.3170731707317073,-0.7886178861788617,-0.2845528455284553,-0.4146341463414634,-2.3089430894308944,0.5528455284552846,0.6991869918699187,-1.065040650406504,-1.032520325203252,-1.5853658536585367,-1.8130081300813008,0.13821138211382114,-1.3495934959349594,-2.813008130081301,2.178861788617886,0.8780487804878049,0.967479674796748,-3.3089430894308944,-2.2357723577235773,-0.6747967479674797,-0.3252032520325203,-0.5853658536585366,-0.44715447154471544,-1.065040650406504,-2.3902439024390243,-0.36585365853658536,-0.9349593495934959,-0.4146341463414634,-0.9512195121951219,-1.1544715447154472,-1.2845528455284554,-0.6016260162601627,-1.08130081300813,-1.4146341463414633,-0.943089430894309,-0.18699186991869918,-0.35772357723577236,-1.7073170731707317,-0.6178861788617886,-0.7723577235772358,-0.18548387096774194,-0.7258064516129032,-0.6370967741935484,-1.0483870967741935,-1.7096774193548387,-0.28225806451612906,-0.6048387096774194,-0.6532258064516129,-1.0483870967741935,-1.25,-1.346774193548387,-0.3548387096774194,-0.9516129032258065,-1.5241935483870968,-0.5806451612903226,-0.14516129032258066,-0.0967741935483871,-1.6129032258064515,-0.9274193548387096,-0.8951612903225806
P02983,0.08771929824561403,-2.8333333333333335,-2.456140350877193,-3.508771929824561,-1.7105263157894737,-2.06140350877193,-3.1403508771929824,-1.1140350877192982,-2.982456140350877,0.02631578947368421,0.017543859649122806,-2.7982456140350878,0.12280701754385964,0.16666666666666666,-2.3771929824561404,-0.37719298245614036,-0.5175438596491229,-1.4385964912280702,-1.0263157894736843,-0.12280701754385964,0.19298245614035087,-1.8596491228070176,-1.719298245614035,-2.543859649122807,-1.456140350877193,-1.7543859649122806,-1.9912280701754386,-0.47368421052631576,-1.8421052631578947,0.17543859649122806,0.017543859649122806,-1.9385964912280702,0.08771929824561403,-0.043859649122807015,-0.8947368421052632,-0.3157894736842105,-0.43859649122807015,-0.4824561403508772,-0.956140350877193,0.008771929824561403,-0.06140350877192982,-2.2280701754385963,-2.4298245614035086,-3.6491228070175437,-1.6842105263157894,-1.868421052631579,-3.3421052631578947,-0.6491228070175439,-2.526315789473684,0.5964912280701754,0.43859649122807015,-2.692982456140351,0.8421052631578947,1.043859649122807,-1.894736842105263,-0.47368421052631576,-0.30701754385964913,-0.41228070175438597,-0.5701754385964912,0.2631578947368421,0.5982905982905983,-2.52991452991453,-1.7008547008547008,-2.735042735042735,-2.0085470085470085,-1.376068376068376,-2.7094017094017095,-0.5384615384615384,-2.2735042735042734,0.1623931623931624,0.18803418803418803,-2.5811965811965814,0.24786324786324787,0.06837606837606838,-1.982905982905983,0.008547008547008548,-0.18803418803418803,-1.641025641025641,-0.8717948717948718,-0.03418803418803419
P81715,-0.05504587155963303,-0.5596330275229358,-0.4954128440366973,-0.7706422018348624,-2.5137614678899083,-0.3302752293577982,-0.5963302752293578,-1.1559633027522935,-0.8899082568807339,-0.5688073394495413,-0.8073394495412844,-0.6422018348623854,-0.9541284403669725,-1.3027522935779816,-0.6972477064220184,0.11009174311926606,0.10091743119266056,-2.110091743119266,-1.055045871559633,-0.23853211009174313,-0.3486238532110092,-1.4770642201834863,-0.7706422018348624,-1.2660550458715596,-2.697247706422018,-1.110091743119266,-1.2110091743119267,-0.9174311926605505,-1.2477064220183487,-1.4036697247706422,-1.1926605504587156,-1.2935779816513762,-1.2110091743119267,-1.5045871559633028,-1.8073394495412844,-0.3211009174311927,-0.5963302752293578,-2.4220183486238533,-1.2660550458715596,-0.9174311926605505,-0.11926605504587157,-0.6605504587155964,-0.3486238532110092,-0.48623853211009177,-2.2660550458715596,-0.48623853211009177,-0.5412844036697247,-0.6697247706422018,-0.43119266055045874,-0.9541284403669725,-0.8348623853211009,-0.6605504587155964,-0.6788990825688074,-0.44036697247706424,-0.9908256880733946,0.0,-0.1559633027522936,-1.3944954128440368,0.0,-0.6972477064220184,-0.036036036036036036,-0.7027027027027027,-0.42342342342342343,-0.6666666666666666,-2.108108108108108,-0.43243243243243246,-0.5855855855855856,-0.7027027027027027,-1.072072072072072,-0.9099099099099099,-1.2072072072072073,-0.45045045045045046,-0.918918918918919,-1.4414414414414414,-1.1261261261261262,0.2882882882882883,0.27927927927927926,-2.1171171171171173,-1.1261261261261262,-0.46846846846846846
